,t2m,stl1,stl2,ssr,tp,swvl1,swvl2
2010-03-01,270.8764266615019,272.37080469894465,272.4411442308884,5244941.8515862245,0.0005973649815280615,0.3808593074760223,0.3805374935538351
2010-04-01,281.63921535640327,280.899452308081,279.6053004634831,13185233.737506295,0.0012887014514570225,0.35367020740922034,0.35591323449956447
2010-05-01,289.75807318167114,289.31475901513835,288.0257840113116,16823701.121022996,0.0018375916682096876,0.29902875107822285,0.29289450226405195
2010-06-01,294.58594780835017,294.6744562675008,293.1124134262509,20024452.773778096,0.0009600102382039625,0.2113328466024959,0.2092941426445723
2010-07-01,298.4995340826914,299.4138418260528,297.98466758279227,18483879.055803947,0.0015868541167794806,0.18655517330381854,0.16234066022385965
2010-08-01,296.9677599401554,298.3217869181844,297.91991350016406,15383809.16167427,0.0016519494426315536,0.1868289597491078,0.16697284234608242
2010-09-01,287.1528062473356,288.2849905489529,288.799889635458,10245469.196649017,0.0014884074820031975,0.26899648407957094,0.2438354825150562
2010-10-01,278.60125349910186,279.8298613627867,280.9867208928851,5330271.427158836,0.0010974337038916725,0.26685884375673563,0.2433512089295511
2011-03-01,270.14181189084246,272.5295840707759,272.7364620925716,5518424.926434011,0.0005071557182330594,0.37654190583876873,0.37584214531176385
2011-04-01,280.8176067313236,280.26331373154795,279.19371958980827,13690070.640684847,0.0016521503541310975,0.35775594359276763,0.3678411034642881
2011-05-01,288.0830150436195,287.8438800111323,286.7199100116425,16542363.440892376,0.0018261397127357125,0.31795160654686855,0.3199611846191309
2011-06-01,292.65729974172723,293.0978945304751,292.0434805016533,17508836.918193888,0.0035186181848896113,0.23137190834809013,0.22104304093639188
2011-07-01,294.70364537609515,294.7673753854213,293.8924057851817,16612697.86092503,0.004208548274321768,0.3327676653361754,0.3280359202730965
2011-08-01,291.2926902606261,291.58464032434046,291.4621654416954,12848556.792882975,0.0031001195313406357,0.3519116560106317,0.34945976258837685
2011-09-01,286.8560036851961,287.73564455509296,288.1189906453977,10466469.227106955,0.0010202836880669934,0.27450380372904326,0.27591334371144893
2011-10-01,279.63721953017114,280.76262635421995,281.7049025365799,4945752.795812797,0.0015066904284616496,0.329134729812145,0.3120864750113522
2012-03-01,271.80094958494794,272.95231500285405,272.82917816542573,5630531.5654708315,0.0014994576144780865,0.38554526778962683,0.3862329720268408
2012-04-01,283.7253621006366,282.84309561535315,281.45422574701155,12810354.84900737,0.0016149817267155616,0.36917073231175035,0.37537892709954157
2012-05-01,290.0833051080002,290.14847835340356,289.1236600485991,17660930.638670594,0.0012302362050898826,0.267290583920461,0.2749447965404387
2012-06-01,291.50591049204814,291.89862525577524,291.01918864917053,17466707.671676867,0.0024764902367578126,0.27258729861201847,0.24987837464722865
2012-07-01,295.2671153743331,295.6955454754189,294.58998385713113,18165767.541849144,0.0022213326323376496,0.24343957243660874,0.2126419469965424
2012-08-01,292.62602744111865,293.7059531537904,293.5642203209523,12946382.331405552,0.0028098024145003717,0.2523481621564052,0.2189901420413159
2012-09-01,287.79189835431794,288.41466887835855,288.65762687816874,10146215.548075017,0.0014630926330607245,0.2918892430049108,0.27171279674152415
2012-10-01,282.0463238515984,282.9038504232243,283.7088451694304,4242408.595486244,0.0020784845561622666,0.33118812815181436,0.3044328468230432
2013-03-01,268.2239669826116,272.4856772348354,272.8973661766782,3626536.13580944,0.0033231312958338487,0.3733933617179423,0.37550525933923856
2013-04-01,280.79941193824226,279.32033784803554,278.12478666521065,12210548.627409091,0.0014030200946972375,0.36882323413119095,0.37612639285108207
2013-05-01,291.24038023051725,290.8754938694413,289.4508643903644,18424612.48866983,0.0016009179217475215,0.2801480166011601,0.27911376045043923
2013-06-01,293.74557580290536,294.27112603037307,293.03441419035784,19086541.497505073,0.0019762206028946586,0.23205637446131328,0.23162336601101435
2013-07-01,292.5600713161988,293.5619795754739,293.06777235413597,15791534.58135596,0.0024208377513842807,0.2627415168295011,0.21334730200151722
2013-08-01,292.42531612994003,293.4797818942365,293.14528102879706,13444435.711839836,0.0018936459765823066,0.2075524876079251,0.1916497398335601
2013-09-01,284.4685056805529,285.4080717056436,286.05716178716733,6827287.78856454,0.0036120420321773088,0.3621681174610829,0.3372055353377693
2013-10-01,281.08143123100314,281.50700038679224,281.9232022848341,4545167.926388232,0.0009807041226569365,0.33878043688464327,0.33001512536168265
2014-03-01,277.23266390701417,276.82173255625986,276.394577199834,10083021.678299483,0.0008770337888925235,0.35021628609941746,0.354355136876635
2014-04-01,281.53004659791515,281.39978601996086,280.70366706200264,13622235.413242184,0.0014976494109821955,0.32906101807687477,0.33065731424680894
2014-05-01,290.51031415812815,290.25109781879934,288.8940773920081,17490985.54255108,0.0022398164902956456,0.25773964907902436,0.25213129958849156
2014-06-01,290.2385294364755,290.83209757810477,290.33044067939767,17373523.490821417,0.0025658958540546407,0.27763128735407816,0.248215000157885
2014-07-01,294.3892166081581,294.5141452618576,293.5141830752851,18297510.694093052,0.0025178780056637597,0.2650792318623555,0.2585321330664721
2014-08-01,293.9997343187605,295.38053945477617,294.9991119246458,15431650.84839699,0.0010056171486003225,0.18337503843930492,0.17179452282785068
2014-09-01,287.1579235328897,288.61684454152635,289.045660812706,10761016.925213251,0.0011830220026971755,0.20069729622779803,0.18505940799603407
2014-10-01,278.4181683937208,279.7277524419949,280.9626833925155,7194669.099293486,0.0002730938212649574,0.22763367034510223,0.22279063691886683
2015-03-01,275.87658323516996,275.4126294493328,274.8797241153193,8549231.483069599,0.0013178336188908206,0.3406653512579808,0.3392794896061282
2015-04-01,280.4844145830214,280.2679086329836,279.4468491855368,14736875.308378985,0.0011466570212798136,0.3269549684977267,0.32865705378494003
2015-05-01,288.52992464868015,288.2625265863787,287.0927365479868,16441324.654754093,0.0030036820115597867,0.26832254821424356,0.2668595331998317
2015-06-01,292.05516580819136,292.25804865696244,291.3316761539749,16847978.99189721,0.0028104051489990017,0.25628647486941214,0.2430880167635157
2015-07-01,293.06554541149,293.37869406265264,292.5860412242806,17582027.558329392,0.0028393364049332567,0.2967331570369514,0.2715654091285444
2015-08-01,293.8086889914063,295.0471538283909,294.39081599692616,16854048.459615767,5.711395925576436e-05,0.16565263123077364,0.18861776608083247
2015-09-01,289.64094420120995,290.6508542436993,290.76998354329834,10616420.782506524,0.0014152756961693866,0.218188037982623,0.21107332168697152
2015-10-01,278.37836728385537,279.95494479075666,281.4135091647529,6234265.089710528,0.0004892745947736934,0.1837646576114473,0.18426983149792792
2016-03-01,275.35348293408117,275.11753466824445,274.68153737757837,7154682.017853601,0.0017966057223028275,0.382860054576213,0.3839589917122951
2016-04-01,283.0635265023025,282.73230743629404,281.81675049748316,12673256.28407062,0.0033028392343799617,0.3763839521203326,0.3803690505675725
2016-05-01,287.5798152974635,287.39562184885625,286.4108564354624,15614805.96249218,0.002834112705945127,0.35196430725011035,0.35171268752963974
2016-06-01,291.70719039051056,291.8261279220131,290.8278697686781,18238601.154471792,0.0026575114978464476,0.3203314425713059,0.3222983310535251
2016-07-01,294.63598348932385,295.1273093312125,294.2397231374603,17991181.088062502,0.0015484800203666845,0.24705144746484775,0.2358239129809391
2016-08-01,293.48630000149615,294.46666461368943,294.06557390008896,15140316.397906398,0.0012672039210058755,0.21915682078903115,0.19229192871868644
2016-09-01,286.9088823025888,288.4100739769229,289.05400035365057,9278638.691834647,0.0004314120829051844,0.1705281360065015,0.16624643196782476
2016-10-01,279.1755266557319,280.5134805874879,281.5827527898039,4971101.749225581,0.0017726972538571585,0.27772605958513985,0.2439618147547532
2017-03-01,277.30203155563686,276.8773819180914,276.49416112993646,9212945.629469123,0.0008876820983683254,0.3665276400899195,0.3688833444417883
2017-04-01,281.32080647747966,281.35383700560453,280.59329078479544,14563359.937130911,0.0010745297929437205,0.3341681883063089,0.3360790728671379
2017-05-01,286.8469062886554,286.9846334426692,285.9860304085227,17413867.599774156,0.0012432954525602065,0.24438729474722534,0.23928752188596475
2017-06-01,290.7292202623881,291.2272591015691,290.1891590445725,17221072.742831856,0.0017554188648964226,0.22882358835732092,0.19809268405810632
2017-07-01,292.30079551478957,293.04632952547524,292.30985525064665,16402765.683365632,0.002837327289937822,0.2616463710483441,0.2209904025031848
2017-08-01,294.16746756747915,294.9052224284903,294.44673997737783,14386988.345779989,0.0012712221509967436,0.21710342244936173,0.19094438482858528
2017-09-01,288.30248973516325,289.2723838130098,289.57252357590835,10413629.155204248,0.0009395172652505324,0.22016772458702222,0.19297622835037845
2017-10-01,279.8851235859045,280.8545243829326,281.82459947719565,4482688.111638412,0.0026078863574592187,0.3012190426405369,0.26142724689286134
2018-03-01,267.61330423981883,272.02873981429207,272.2719006058374,3254513.467413364,0.0024045639199212626,0.34786804081866735,0.34808063563835145
2018-04-01,282.08441919961257,280.1423146604097,278.6403665200762,13981762.118688295,0.0008247967990112305,0.36018843085668373,0.3642616900062069
2018-05-01,290.390342241248,290.22608113320535,288.83128555430807,18925522.089206964,0.0008306232324979904,0.2367423347749178,0.2508048110716732
2018-06-01,292.6453594087676,293.4838662510682,292.12638534986667,19323607.766041536,0.0014671108630515935,0.18336450819140918,0.1781111348126999
2018-07-01,293.6796196779855,294.134810621116,293.39693894082944,15183873.754474843,0.00429815480311814,0.31449768523706567,0.2745236890747821
2018-08-01,294.2715190404131,295.345311877103,294.7705103905189,17448142.24100835,0.0004918864442677584,0.1826484513344988,0.20516728948113747
2018-09-01,290.14869264563634,291.240533261272,291.59706978050417,10980588.845619764,0.0012838795754679805,0.21667168228563638,0.1701627313984313
2018-10-01,281.97752479025957,282.757324121888,283.5356770545231,6202846.668579189,0.0013262719018716455,0.27092351944449145,0.23769784120311105
2019-03-01,275.19825860560593,274.9562025733934,274.8198756450114,6886197.3281857995,0.0013885544667301105,0.38959941322948693,0.3886859230142906
2019-04-01,281.9530755370565,281.871529234019,281.1221157929259,14271668.459127463,0.0006369445469381185,0.3053574300635629,0.3155711392896607
2019-05-01,289.49026857100506,289.22081880800994,288.03019906239984,15816883.534768742,0.0025480147305952756,0.31462404821181456,0.3019062020291035
2019-06-01,295.5280969375937,296.14482472690287,294.8872639637425,19322893.711015824,0.0011187303228432765,0.19688534648953998,0.19874540062987409
2019-07-01,291.63043110719866,292.7032435516148,292.25687463758715,16812276.2406116,0.0026876482227779627,0.26832254821424356,0.21391579708015365
2019-08-01,292.0489113480697,293.1137214131979,292.6934741340956,14465534.398608334,0.0009511701322240515,0.2114276188335576,0.19432377224047961
2019-09-01,287.38649562097413,288.76796574429824,289.3022243370587,10279029.782857493,0.0019294082235010376,0.21879879236057595,0.17491071807370964
2019-10-01,282.89693042815145,283.51293013574747,284.1606520641318,5818328.037233151,0.0007424230841984224,0.2866978307923107,0.2697335916529381
